,Endothelial Cells,Cardiac Muscle Cells,Hepatocyte,Smooth Muscle Cells,Cardiac Fibroblast,Macrophages
DDX11L1,0,0,0,0,0,0
WASH7P,0.00658071289925817,0.000313707788544012,0.00083143794284817,0.00951598967249329,0.060768945813179,0.093577074843484
MIR6859-1,0,0,0,0,0,0
MIR1302-2HG,0,0.00832755031228314,0,0,0,0.0084296021912549
MIR1302-2,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0
OR4F5,0,0,0.00918273645546373,0,0,0
CICP27,0.00375234521575985,0.004813257941432,0,0,0,0.135135135135135
RNU6-1100P,0,0,0,0,0.00197727525234222,0
WASH9P,0.00977352631975517,0.00364069948897107,0.0183113426161644,0.045045045045045,0.144570368885994,0.0247560658970395
MIR6859-2,0,0,0,0,0,0
RPL23AP24,0,0.00138792505204719,0,0,0,0
WBP1LP7,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0
CICP7,0,0,0,0,0,0
RF00026,0,0,0.00918273645546373,0,0,0
MTND1P23,0.0254080214173364,0.0334740329457552,0.018711195193929,0.021069952232243,0.0306692878697068,0.0278502144485813
MTND2P28,0.291017255213943,0.238408419549837,0.139821163636074,0.620951783079822,0.425132559746504,0.363926201756742
MTCO1P12,0.0244715796848217,0.0333797077992821,0.0265535641302542,0.156561361575449,0.116631001889706,0.14818785485585
MTCO2P12,0.0383535661523215,0.0789470962027061,0.0964172838189057,0.318414529634489,0.257072160393,0.181115200390687
MTATP8P1,0.00564210279573866,0.00163891025296025,0.0112792096819978,0.102196943115544,0.0421545915007591,0.216611387761864
MTATP6P1,2.50782268775512,2.56884163081811,1.90496308909673,2.74939755598704,2.28817267155647,1.96384079230798
MTCO3P12,0.296487754656047,0.336239048199551,0.166607038554957,0.892680821655033,0.576680060386658,0.682444765559725
WBP1LP6,0,0,0,0,0,0
OR4F16,0.00375234521575985,0,0,0,0,0
CICP3,0,0,0,0,0,0
RNU6-1199P,0,0,0,0,0,0
FAM87B,0,0,0.00971470413348125,0,0.04,0
LINC01128,0.319326527302082,0.536879104366015,0.321323586725335,0.463524927964082,0.206249062046409,0.150102779923661
LINC00115,0.179704373772999,0.0764972523051281,0.0554939475050752,0.155143021463274,0.262227506637573,0.38300930487143
FAM41C,0.00255245170355067,0.0483956830026705,0.0336450343836985,0,0,0
TUBB8P11,0,0,0,0,0,0
LINC02593,0.0150093808630394,0.351002646088187,0.254256118427623,0.135135135135135,0.12,0.135135135135135
SAMD11,0.00956806420832593,0.427880298611524,0.843827698294234,0.742751942024575,0.813179507106543,0
NOC2L,0.42821565110509,0.772746683708874,0.829087890759863,0.503689924338916,0.455467783689499,0.311051025583937
KLHL17,0.0853932404831248,0.142290278990016,0.339150999805268,0.128130444535264,0.155448148727417,0.1309128065367
PLEKHN1,0.00866871363226513,0.00668860234625219,0.243063048280851,0.0790151690577602,0.0360722579956055,0
PERM1,0,0.00904205667732657,0.00720446037523674,0,0.04,0
HES4,1.30761097953297,0.837984945778628,1.64148555451421,3.45865745686397,0.368454891681671,0.298318729207322
ISG15,1.41967850620762,0.916969489331547,0.733877323930476,0.423262112043999,0.201987580060959,0.49069420791961
AGRN,0.629850167360359,0.861757352081109,1.35367417970417,0.0944743811547219,0.216464569807053,0
RNF223,0.00716553450078052,0.00511061564491161,0.0236731552004924,0,0,0
C1orf159,0.217617168927506,0.197964273609278,0.340416855720121,0.115615924199422,0.0562716484069824,0.178843080191999
LINC01342,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR429,0,0,0,0,0,0
TTLL10-AS1,0.0075046904315197,0,0,0,0,0.135135135135135
TTLL10,0.15983459130908,0.00277585010409438,0.0378254280931037,0,0,0
TNFRSF18,0.00477373067701959,0.00456078602653837,0.0512165776954209,0,0,0.0833874908653466
TNFRSF4,1.08308323190651,0.0127094846314477,0.0261634397769434,0,0.0163590526580811,0.116929315231942
SDF4,1.24405496731526,0.842944521034533,0.947555276480588,0.660208979235576,1.32461333280802,0.553428885501784
B3GALT6,0.408865118775985,0.678043737285754,0.674898967872091,0.278779469631814,0.155840899467468,0.287076321808068
C1QTNF12,0.938112002599977,0.172357719793326,0.529925383264806,0,0.0379510078430176,0.27027027027027
UBE2J2,0.536781196209548,0.814535922271191,1.0081000916003,0.73204380703402,0.495992160797119,0.479718488615912
LINC01786,0.00375234521575985,0.014889285784269,0,0,0,0.135135135135135
SCNN1D,0.0529667802420611,0.23219656601786,0.153510259750023,0.0900900900900901,0.139694557189941,0
ACAP3,0.477988898309601,0.339921876130461,0.495264292338006,0.440131473111677,0.258758308425546,0.153251667280455
MIR6726,0,0,0,0,0,0
PUSL1,0.196101127019743,0.521665468880238,0.95748493346301,0.145249424753962,0.219791563987732,0.206599577053173
INTS11,0.415622516329388,0.548130523573186,0.738211849942133,0.571003322531511,0.528060232013464,0.252154243958963
MIR6727,0,0,0,0,0,0
CPTP,0.573525380456425,0.579315440006177,0.446230592806477,0.25617304900745,0.233800631523132,0.285474144929164
TAS1R3,0.0337711069418387,0.0320883802867945,0.0169604706917475,0,0,0
DVL1,0.55069026202243,0.368625284320856,0.462593956598182,0.602801395966126,0.632407045602798,0.269599419993323
MIR6808,0,0,0,0,0,0
MXRA8,0.0340588648144792,0.22307442122247,0.311192851722295,0.605133930607153,1.99180141547322,0.0620434348647659
AURKAIP1,1.07190125451247,2.35071582499682,2.03312072374057,1.06349778658635,0.6901344833076,0.844079780467861
NDUFB4P8,0,0.00277585010409438,0.00918273645546373,0,0,0
CCNL2,0.593550703363706,0.466938644761348,0.875734659087997,0.69123508974591,0.841429241642356,0.472885126600394
MRPL20-AS1,0.344860408722124,0.45482708887455,0.503053710425634,0.195659807136467,0.15105832862854,0.280838257557637
MRPL20,1.0473729266661,2.12354873520976,1.98070993187561,0.685017770206606,0.709937871366739,0.903321100247873
RN7SL657P,0,0,0,0,0,0
ANKRD65,0.249564583823924,0.0176269154346792,0.270223554062997,0.0287800436621314,0.515337694168091,0.0238255987296233
TMEM88B,0,0.00138792505204719,0.00918273645546373,0,0,0
LINC01770,0.0708068139110229,0.497617301040851,0.0488604043359818,0,0,0.135135135135135
VWA1,1.6791205108641,0.342095734707437,1.11660260885708,0.221668996252455,0.786564895391464,0.134806671658078
ATAD3C,0.0796916531031955,0.0830692930342235,0.0624009304029116,0,0.0591575756072998,0.135135135135135
ATAD3B,0.284225305506704,0.325111556572272,0.535231441067817,0.130129009351,0.175701674222946,0.568912064706957
ATAD3A,0.303994346067561,0.955877777863757,1.05791375941372,0.0674154736974218,0.283972759246826,0.100688683020102
TMEM240,0.246965182179805,0.777832800956504,0.6121852791999,0.534400617754137,0.428181053161621,0
SSU72,1.03502394738319,1.50825717953718,1.50602941145253,0.685635630142044,0.89107655775547,0.805801183186673
FNDC10,0.0845620175016307,1.26538318712096,0.668048684754648,0.0857372799435177,0.0259116058349609,0.131948071557122
MIB2,0.325834487549136,0.78626724695845,0.47023486499944,0.325380845112844,0.301148505210876,0.594123148434871
MMP23B,0.0102640915095918,0.868949000327476,1.12791346452781,0.0945251374631315,1.26509692645073,0.264289443557327
CDK11B,0.587572049208363,0.540990304926218,0.803803299959917,0.437119286339562,0.385324235022068,0.314971096612312
SLC35E2B,0.19740919695283,0.291462357924433,0.428879863111331,0.2321101534474,0.143892619132996,0.354293941444642
MMP23A,0,0.0124913254684247,0.0183654729109275,0,0,0
CDK11A,0.421112501918116,0.230973959643339,0.395824676856768,0.538249513050457,0.276243491351604,0.219842841496339
SLC35E2A,0.1702737393623,0.199028295125505,0.209496923769363,0.255319340808972,0.322712153851986,0.120800446819615
NADK,0.550925072724276,0.263411975128216,0.391852769422575,0.54744676218645,0.872037278413773,0.265968449212409
GNB1,1.80045492721732,1.20321400621796,1.32261111132657,1.08936390428393,1.01648862724565,1.03006995368648
CALML6,0,0.0127777592660982,0.0100284301435542,0,0,0
TMEM52,0.0131376772839401,0.139669590539026,0.272034345086941,0.0869010590218209,0.04,0
CFAP74,0.000207597906325593,0.0383375361096437,0.0612322896636879,0.0900900900900901,0.00291033458709717,0.0853725059612377
GABRD,0.021079138385422,0.0102569707808273,0.0228178656571934,0.225225225225225,0.04,0
PRKCZ,0.0695348877844175,0.588470430815907,0.706501143639847,0.045045045045045,0.10423869228363,0.0531928635932304
PRKCZ-AS1,0.0452044714235231,0.205159034106899,0.196563833891743,0,0,0.135135135135135
FAAP20,0.752681677724544,1.69972864176605,1.63868597111536,0.752083883780214,0.640910912208259,0.803904572954854
SKI,1.17112591063523,0.301433664043276,0.311371608612472,0.628375142712045,1.00603627976775,0.313392402352513
MORN1,0.0841553898734402,0.200799191362075,0.251806440076443,0.0527196553376344,0.04,0.484496541925379
RER1,0.655196515157099,0.88665695449455,1.33863244517351,0.700418543842462,0.780904569163918,0.444972648813918
PEX10,0.246180922452773,0.829056413028076,0.739791636843546,0.318299153903583,0.369329750061035,0.411219371331705
PLCH2,0,0.00164759670339633,0.00430747103099981,0,0,0.135135135135135
PANK4,0.248696958370101,0.520677139434775,0.262645846884441,0.383184605085098,0.356183514595032,0
HES5,0.581364925806786,0.00138792505204719,0.0322543122661125,0.27027027027027,0.0331776351928711,0
TNFRSF14-AS1,0.426117867949169,0,0.00180839446841083,0.0262860564498214,0.0190545043945313,0
TNFRSF14,0.686674529554647,0.0112288905836326,0.00176147899023429,0.204985100406784,0.232146384716034,0.541635589925824
PRXL2B,0.478177015782521,0.51941967044416,0.468792588914393,0.298356087358148,0,0.328093999140971
MMEL1,0.0323698298456969,0.00328704385936136,0.00270095650924248,0,0,0
TTC34,0.0028367693831281,0.0680771375513176,0.0202562309822104,0,0.08,0
ACTRT2,0,0.00277585010409438,0,0,0,0
LINC00982,0.248467066520598,0.999292215748349,0.165717385907694,0.301362398508433,0.08,0.394232569514094
PRDM16,0.267605021769289,0.961714741217436,0.175388241232919,0.499252666224231,0.312387882232666,0.208464139216655
MIR4251,0,0,0,0,0,0
ARHGEF16,0.061116477467581,0.125267285054794,0.826382038952343,0.0646707861273138,0,0.179034323305697
MEGF6,0.158386009126748,0.14387886025358,0.406274273403201,0.0446154888685759,0.599985785007477,0.081544811661179
MIR551A,0,0,0,0,0,0
TPRG1L,0.677632115023668,0.313555112915433,0.432744433071988,0.30594397718842,0.403477202385664,0.146673477733055
WRAP73,0.467472604671965,0.291397705345332,0.489230213278034,0.597877837516166,0.365546802580357,0.269781400223036
TP73,0.000106072056807899,0.0051472005043321,0.101909126460388,0,0,0
TP73-AS1,0.333571434573849,0.409355444787361,0.230934383455387,0.417243635332262,0.423715357065201,0.121499383771742
RF02197,0,0,0,0,0,0
CCDC27,0,0.00416377515614157,0,0,0,0.214660605868778
SMIM1,0,0.862802132953793,0.663263207050066,0,0,0.248300359055803
LRRC47,0.58683746811946,1.07328164250713,0.802153770862313,0.35316168422903,0.40111142963171,0.323097765244342
RN7SL574P,0.0075046904315197,0.0171102368939179,0.014913850141513,0,0.04,0
CEP104,0.4678409363075,0.333765622069652,0.356040265086159,0.509258741999532,0.428832460522652,0.217221211491002
