,kidney epithelial cell,b cell,cd8-positive alpha-beta t cell,endothelial cell,macrophage,nk cell,cd4-positive helper t cell
DDX11L1,0.000263482550443714,0,0,0,0,0,0
WASH7P,0.00372443971778719,0.0656116134609994,0.0939821623172998,0,0,0.068810363307254,0.0248679271719074
MIR6859-1,0,0.0293255131964809,0,0,0,0,0
MIR1302-2HG,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
CICP27,0.00120033609410635,0,0,0,0,0,0
RNU6-1100P,0,0,0,0,0,0,0
WASH9P,0.00683251928523328,0.0519882319959378,0.0736412074555995,0,0,0.0418057742009636,0.0371221127760344
MIR6859-2,0,0,0,0,0,0,0
RPL23AP24,0,0,0.04149377593361,0,0,0,0
WBP1LP7,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0
RF00026,0,0,0,0,0,0,0
MTND1P23,2.57852598030624,2.80203320879129,2.60595364423461,3.12511459338038,2.98251180114033,2.54124903849518,2.73108585141805
MTND2P28,0.640043286319146,0.905313673082335,1.04142983690584,1.09863417964233,0.832847704954236,0.702257255788978,0.741701555639011
MTCO1P12,1.31327569867234,1.36193703206753,1.49864915956229,1.91655471920967,1.93829470287974,1.54948583950523,1.45230123645611
MTCO2P12,0.134598617696051,0.407687514277497,0.245161070492258,0.127601767841138,0.185651605002977,0.437986028672175,0.231910752451552
MTATP8P1,0.0387874537835873,0.143884755823969,0.154550820218082,0,0.0567658638285699,0.121292302171693,0.0888852941397145
MTATP6P1,3.09784952120377,3.16825386218705,3.02170766352123,3.34535504893253,3.2602216681216,2.99945723487221,3.1641566598613
MTCO3P12,0.314471892021617,0.825027091761838,0.827189660233086,0.694903942158348,0.483639678851095,0.722874126361527,0.841663244185527
WBP1LP6,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
CICP3,0,0,0,0,0,0,0
RNU6-1199P,0,0.0293255131964809,0,0,0,0,0
FAM87B,0,0.0293255131964809,0,0,0,0.0763358778625954,0
LINC01128,0.279304391116372,0.191119499570114,0.126091007375124,0.50012445700796,0.17726435542478,0.213083862348367,0.227075774366684
LINC00115,0.00570261811826599,0.0822845735857564,0.292746323272895,0.285601779034263,0.197956354818612,0.205030077286349,0.0368263207746474
FAM41C,0.0252235968592873,0,0,0,0,0,0
TUBB8P11,0.00600168047053175,0,0,0,0,0,0
LINC02593,0,0,0,0,0,0,0
SAMD11,0.0129480624510852,0,0.0645582527540531,0.1458866671512,0,0,0.0959909028111242
NOC2L,0.290733629554356,0.347708403070039,0.392181812974922,0.392052774052871,0.341971259807872,0.489601053354394,0.293858944381798
KLHL17,0.0200041161194782,0.00110057415850351,0.0772112973992755,0.209573369277151,0.148288599055875,0.0706634011887412,0.136357170442191
PLEKHN1,0.00411623589718647,0.0209037062010108,0.186695673653694,0.162936255806371,0.0699720902606334,0,0.163070204508239
PERM1,0,0,0,0,0,0,0.0552157512685871
HES4,0.0253849175064779,0.0120936939793248,0.0154674805051558,0.37611452278338,0.250961265274297,0.0803393070934383,0.0114436808212027
ISG15,0.07812722917508,0.064652574376976,0.216156924908587,0.566918100181379,0.152145759153218,0.146697962557087,0.119295435715775
AGRN,0.107139658617052,0.0166397332445967,0.130295339956323,0.715548174004806,0.046800805029468,0.0327296402618175,0
RNF223,0.000717192505490893,0,0,0,0,0,0
C1orf159,0.0495898527352696,0.106576072155905,0.174779620902667,0.473054897157769,0.412861943616303,0.233168234351937,0.0439901114827362
LINC01342,0.00120033609410635,0,0,0,0,0,0.0552486187845304
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0.0311526479750779,0,0
MIR429,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0
TTLL10,0.000856223934596218,0,0,0.112536119159899,0.0263039657260027,0,0
TNFRSF18,0,0.0106366358894057,0.255342116494396,0,0.00819106859581493,0.815490425543021,0.326730053686635
TNFRSF4,0,0,0.227832061126519,0.322096785746123,0.0153958043576772,0.321902051226783,0.564505828678279
SDF4,0.395074099642357,0.31941123092629,0.470966031674404,1.01773087476429,0.494201582540233,0.786375970074921,0.397796220254174
B3GALT6,0.179974917163655,0.155334173496867,0.254592790643209,0.288722387740487,0.26819863720475,0.253661152060705,0.239903976904095
C1QTNF12,2.13253216173036,0,0.04149377593361,0,0.0493598088297146,0.151646104477744,0
UBE2J2,0.616090893026389,0.34736429980773,0.540681236017789,0.545160136097356,0.364136383540905,0.624108081555549,0.456725818676185
LINC01786,0.0024006721882127,0.0293255131964809,0,0,0,0,0
SCNN1D,0.0273396702405714,0,0,0,0.0894546597917503,0,0
ACAP3,0.225753256223193,0.147529354542931,0.250732703698621,0.482212146959807,0.375597996132396,0.246259150614265,0.0654764702306927
MIR6726,0,0,0,0,0,0,0
PUSL1,0.368120505377362,0.126891197696809,0.208856469368044,0.0669117450714111,0.186520123407477,0.15709720495093,0.200022352334544
INTS11,0.392417346684604,0.302849117000082,0.320366745667834,0.294085698065005,0.239274319644286,0.252302644816974,0.217851748124012
MIR6727,0,0,0,0,0,0,0
CPTP,0.458226517374068,0.162281310453443,0.158287385687294,0.12099454528407,0.0741043751856248,0.110624822951455,0.0859331412868605
TAS1R3,0,0.0586510263929619,0.04149377593361,0,0.0504445019540757,0,0.0552486187845304
DVL1,0.298071572348044,0.082901196046309,0.154511042155665,0.572677799902464,0.212759742484286,0.0719769492404151,0.0479449777971974
MIR6808,0,0,0,0,0,0,0
MXRA8,0.00710414710264935,0,0.0387843921471434,0.10928509486349,0.00268967259338712,0,0
AURKAIP1,2.06646042768158,0.484999583963075,0.392847937914346,0.250649596201746,0.659793707811944,0.667416266698874,0.622121924853457
NDUFB4P8,0,0,0,0,0,0,0
CCNL2,0.168960748965422,0.596224989742041,0.69217058759631,1.12453815748817,0.459752249012112,0.807019558685427,0.483121058147257
MRPL20-AS1,0.189959140982094,0.370082883191598,0.247404156878776,0.469327895264877,0.177326725279431,0.209193185995553,0.317197071254583
MRPL20,1.65254981789231,0.576572364944517,0.690638467236673,0.436095926636144,0.910767221376532,0.719582175935498,0.690802460011527
RN7SL657P,0,0,0,0,0,0,0
ANKRD65,0.015223347873136,0,0.0309670851933016,0.462357425689697,0.0314519041423857,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,0.0210432795227082,0,0.0199269852697602,0.549403445344222,0.00898310254296038,0,0
ATAD3C,0.230503488144673,0.0235309209292236,0.0387032704729262,0.34352331161499,0.0343952164100338,0.0557045572586642,0.0972953870151583
ATAD3B,0.0458387177401324,0.190105179537776,0.140227228774075,0.461954416099348,0.146935289151201,0.261417867573163,0.0853045813286502
ATAD3A,0.319428746890026,0.120062054776726,0.0367430176477709,0.377955037669132,0.178664815388736,0.0989560898933702,0.177570208660147
TMEM240,0.00730732251095065,0,0,0.22394538678621,0,0,0
SSU72,1.12478674959462,0.742151113352643,0.774019505844077,0.700641723055589,0.888058904732499,0.723357788024058,0.763151345332025
FNDC10,0.0412250797426038,0,0.04149377593361,0.064294403477719,0.294152966169553,0.270335645166062,0.0939295252383743
MIB2,0.204905809109529,0.124704847587518,0.326851400844289,0.312928184710051,0.194414706987755,0.82917590541694,0.27981510182112
MMP23B,0.00352838557102202,0,0,0,0,0.151003662866491,0
CDK11B,0.127576292326665,0.405071414701225,0.615070162704253,0.525907895125841,0.175766368521337,0.533484583763221,0.336092460879963
SLC35E2B,0.0902309866887927,0.410921493845601,0.30090774886341,0.680288337406359,0.212910712322342,0.520819125853422,0.336559297547815
MMP23A,0,0,0.04149377593361,0,0,0,0
