freq	free_annotation	cell_ontology_class
1	34	Plasma	liver dendritic cell
2	34	Plasma	plasma cell
3	34	Dendritic cell	liver dendritic cell
4	34	Dendritic cell	plasma cell
5	42	BECS	intrahepatic cholangiocyte
6	66	Macrophage	NA
7	69	Sorted Myeloid	NA
8	76	Stellate/Fibroblast	fibroblast
9	83	Neutrophil	neutrophil
10	102	Proliferating NK cell	NA
11	108	Erythrocyte	erythrocyte
12	143	NK cell	NA
13	146	T cell	t cell
14	245	NA	nk cell
15	267	Endothelial/Kuppfer	endothelial cell
16	421	Endothelial	endothelial cell of hepatic sinusoid
17	612	Monocyte	monocyte
18	1246	Monocyte/Macrophage	NA
19	1381	NA	macrophage
20	1558	Hepatocyte	hepatocyte
