,X111CU,X111YS,X1122O,X117YW,X117YX,X11DXX,X11DXZ,X11EM3,X11EQ9,X11GSP,X11I78,X11LCK,X11NSD,X11O72,X11ONC,X11P7K,X11P81,X11P82,X11TT1,X11TTK,X11TUW,X11VI4,X11ZVC,X1211K,X12BJ1,X12C56,X12WSJ,X12WSL,X12ZZZ,X13111,X131XE,X131XG,X132AR,X1339X,X133LE,X1399R,X1399S,X1399U,X139T6,X139TS,X139YR,X13CF3,X13D11,X13FH7,X13FHP,X13FTW,X13O21,X13O3O,X13O61,X13OVG,X13OVI,X13OVJ,X13OW5,X13OW6,X13PL7,X13PVR,X13QBU,X13U4I,X13VXT,X13W3W,X13X6H,X144GL,X144GM,X145LS,X145LT,X145ME,X145MN,X145MO,X147GR,X148VJ,X14AS3,X14BIN,X14BMU,X14BMV,X14C39,X14C5O,X14DAQ,X14DAR,X14E1K,X14E6E,X14JG6,X14JIY,X14PJ3,X14PJ4,X14PJM,X14PK6,X15CHC,X15CHQ,X15DYW,X15ER7,X15RIE,X15SHU,X15UF6,X16AAH,X16MT8,X16NGA,X16XZZ,X16Z82,X17EVQ,X17F96,X17F98,X17F9E,X17GQL,X17HGU,X17HHE,X17HII,X17JCI,X17KNJ,X17MF6,X18A66,X18A7A,X18D9A,X18D9B,X18D9U,X18QFQ,X1A3MV,X1AMEY,X1AMFI,X1AX8Z,X1AX9I,X1AYCT,X1B8KE,X1B8KZ,X1B932,X1B996,X1BAJH,X1C2JI,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CAMR,X1CAMS,X1CB4F,X1CB4I,X1E2YA,X1EH9U,X1EMGI,X1F5PK,X1F5PL,X1F75B,X1F75I,X1GF9U,X1GF9X,X1GL5R,X1GMR2,X1GMR3,X1GN73,X1GPI7,X1GZ4H,X1GZ4I,X1H11D,X1H1DG,X1H1E6,X1H3VY,cell_type_mean,cell_type,method,tissue
cd4.positive.alpha.beta.T.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd4.positive.alpha.beta.T.cell,DeconRNASeq,colon-transverse-large-intestine
immature.enterocyte3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,immature.enterocyte,DeconRNASeq,colon-transverse-large-intestine
monocyte3,7.22,10.37,8.1,9.59,9.75,8.27,9.38,7.96,9.61,13,9.26,10.08,8.88,8.77,9.46,8.41,9.77,9.24,5.86,9.27,10.19,8.27,13.02,9.62,8.85,8.66,7.02,9.45,9.64,9.22,8.44,6.73,7.55,4.85,8.77,7.06,9.01,8.76,8.96,7.93,6.7,10.88,8.21,11.61,10.26,8.91,9.68,8.93,10.44,8.48,6.48,9.23,8.76,8.13,8.98,8.39,9.65,9.87,10.41,8.31,5.56,8.36,8.34,10.6,8.5,9.14,7.67,9.79,8.69,8.95,10.35,8.38,8.28,10.1,2.84,13.16,11.7,9.4,6.77,9.64,8.63,7.99,9.92,8.44,7.98,9.12,12.72,6.49,10.64,7.06,6.87,10.55,8.84,9.09,8.27,10.34,9.14,9.82,8.09,17.08,8.73,11.98,9.64,9.24,8.73,7.64,12.54,8.36,6.72,6.33,9.78,8.83,9.95,7.49,11.37,10.92,10.05,9.12,10.78,9.3,9.41,8.92,8.75,8.84,11.04,9.64,11.14,8.27,8.28,10.15,10.95,8.39,7.34,10.37,10.25,10.89,13.02,9.61,8.58,8.14,10.7,7.2,9.33,8.09,9.84,8.87,8.59,11.06,9.17,10.11,9.61,8.3,8.08,8.77,9.11,9.13658064516129,monocyte,DeconRNASeq,colon-transverse-large-intestine
plasma.cell3,7.51,4.87,6.21,22.55,6.07,9.5,7.91,12.24,4.68,8.08,6.56,8.16,6.86,16.54,5.17,13.39,5.35,10.52,6.55,7.97,4.59,5.51,8.58,8.13,7.8,13.4,4.78,4.9,5.47,11.8,13.39,9.8,19.06,5.95,17.11,11.18,6.47,10.08,6.95,31.82,14.86,5.37,14.67,6.81,11.91,17.05,7.01,13.79,4.21,3.66,4.28,36.7,6.43,30.19,14.72,6.93,5.79,6.32,12.6,4.7,8.49,41.84,13.49,8.36,9.41,4.75,19.4,12.03,21.27,5.48,5.67,6.04,9.67,6.53,18.14,8.7,7.99,6.68,5.75,5.24,7.35,10.23,4.77,12.45,25.52,16.39,6.75,5.28,48.04,6.85,11.98,10.35,18.95,8.41,9.93,10.87,37.26,15.58,22.14,11.04,18.27,9.16,8,7.66,9.75,6.67,17.41,7.76,17.01,21.08,4.58,12.68,5.05,9.95,5.37,5.04,4.35,8.2,6.93,36.41,5.49,8.01,11.69,10.59,15.98,15.91,5.61,13.05,10.06,4.66,32.18,7.01,25.35,5.58,4.89,43.33,8.23,5.94,15.25,20.81,10.83,7.21,7.35,5.19,5.55,7.01,17.64,5.69,9.43,4.82,6.76,13.26,18.15,9.7,6.64,11.3723225806452,plasma.cell,DeconRNASeq,colon-transverse-large-intestine
cd8.positive.alpha.beta.T.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd8.positive.alpha.beta.T.cell,DeconRNASeq,colon-transverse-large-intestine
fibroblast3,0.67,12.98,0.02,1.88,17.36,0.21,0,0.81,18.5,10.2,0,0,5.72,18.73,16.29,1.22,14.68,0,6.07,21.92,15.84,3.02,12.54,0,0.22,0.01,19.67,16.31,20.39,0,1.82,1.13,0,21,0,0.23,0,0,0.44,0.13,3.26,16.7,0,12.23,18.48,0,0,16.95,12.71,16.4,16.41,0.03,12.51,9.64,0,2.35,0,12.06,11.46,20.58,6.28,8.83,0,25.78,0.57,17.18,0,13.5,0,20.84,13.43,14.43,0.44,12.73,13.62,10.08,22.17,0,24.28,0,3.29,2.17,13.61,0,11.52,0,11.3,31.15,4.71,11.83,4.48,11.61,24.28,0.36,8.08,10.99,13.22,9.06,19.41,9.3,8.18,12.87,3.98,0.97,0.19,12.67,16.38,8.16,14.63,4.93,14.55,1.02,12.22,3.78,17.2,13.33,6.37,0.29,16.44,13.79,5.51,0,0,2.98,10.2,13.46,9.74,0,1.26,12.55,14.33,0,2.75,15.65,13.98,3.37,16.94,21.83,0,0.44,14.73,3.29,2.78,5.11,16.89,15.7,8.53,17.81,2.43,20.42,14.47,0,16.08,0,1.44,8.47051612903226,fibroblast,DeconRNASeq,colon-transverse-large-intestine
mature.enterocyte3,31.54,15.75,26.74,21.66,15.19,24.41,23.8,26.25,15.4,15.27,22.22,19.31,19.35,12.4,15.49,25.45,14.91,25.7,26.01,12.7,14.77,20.79,15.04,21.49,23.87,20.48,15.56,14.96,14.7,22.89,22.51,32.8,29.11,13.82,21.21,29.99,24.9,25.13,22.34,21.28,24.48,15.23,26.31,15.63,13.35,24.83,21.06,14.19,16.43,17.14,15.4,17.3,15.97,16.6,25.1,22.36,21.36,14.94,15.94,15.62,21.82,12.55,25.87,11.76,22.13,15.39,25.91,14.85,17.55,13.4,15.01,14.52,23.14,15.89,10.84,15.75,12.75,22.41,14.37,27.53,20.09,26.57,16.63,23.32,14.99,24.95,15.68,10.71,13.26,16.58,26.55,15.09,10.89,23.47,16.88,18.54,12.36,16.21,12.34,11.7,17.02,16.71,18.12,20.69,25.27,14.7,13.61,23.46,13.5,24.93,15.98,22.37,16.4,18.38,15.05,15.76,17.75,24.41,15.32,13.23,24.05,24.97,22.26,21.81,15.98,15.33,16.8,27.64,20.63,15.99,12.03,31.14,17,15.81,16.02,14.81,12.73,12.87,23.81,24.41,10.47,15.02,20.43,21.14,15.16,14.66,17.15,14.79,18.03,13.41,14.1,28.46,13.77,26.55,23.51,18.8521290322581,mature.enterocyte,DeconRNASeq,colon-transverse-large-intestine
goblet.cell3,4.94,0.35,6.99,5.45,0.39,3.04,1.4,2.52,0.17,0.91,3.37,2.54,1.4,0.59,0.39,4.06,0.56,0.16,7.81,0.34,0.93,2.22,1.14,0.3,1.27,1.68,0,0.79,0.41,0.82,2.48,8.12,3.25,0,5.05,1.21,3.38,2.38,1.15,1.35,5.2,0.74,0.8,0.67,1.34,1.71,4.26,0,0.11,0,0,2.12,0,0.42,0.73,1.74,1.53,0.49,2.65,0,11.9,1.4,2.39,1.11,3.06,0.36,4.63,0.05,2.99,0.48,0.69,1.83,2.81,0.06,1.46,0.55,1.76,1.58,0.33,1.59,4.61,5.24,0.04,3.7,2.27,0.53,0.83,0.71,1.08,1.75,0.24,0,0,1.64,0,1.95,1.19,0,0.18,0.16,1.81,1.11,0.08,0.9,1.14,0.75,1.82,1.36,0,5,0.8,1.67,0.04,3.47,0.69,0.71,0.65,1.09,0.27,1.4,2,3.06,2.74,4.02,0.52,0.33,0.35,2.37,2.44,0.87,1.32,1.48,7.67,0.64,0.15,0.73,0.97,0,2.33,0.11,2.21,13.45,0.34,0.79,0.03,0.26,0.93,0.81,2.1,1.15,1.33,1.32,0.77,2.13,1.41,1.70877419354839,goblet.cell,DeconRNASeq,colon-transverse-large-intestine
paneth.like.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paneth.like.cell,DeconRNASeq,colon-transverse-large-intestine
b.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407741935483871,b.cell,DeconRNASeq,colon-transverse-large-intestine
