,X111CU,X1122O,X117YX,X11DXX,X11EQ9,X11LCK,X11NSD,X11P7K,X11P81,X11VI4,X11XUK,X1211K,X12BJ1,X12WSD,X12WSG,X12WSJ,X12WSK,X12WSN,X13111,X131XE,X131XG,X132QS,X1399R,X1399S,X139T6,X139YR,X13CF3,X13FH7,X13N11,X13PL7,X13PVR,X13U4I,X13VXT,X13X6H,X145MN,X146FR,X14BMU,X14DAR,X14E1K,X14E6E,X14JG6,X14PJ4,X14PJ6,X14PK6,X14PN3,X15CHC,X15CHQ,X15DYW,X15ER7,X16MT8,X17F96,X17F97,X17F98,X17F9E,X17GQL,X17HHE,X18A66,X18A67,X1A3MV,X1AMFI,X1AX9K,X1B8KZ,X1B97I,X1B97J,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CB4E,X1CB4F,X1CB4I,X1F5PK,X1F5PL,X1F75I,X1GF9U,X1GZ4H,X1H3O1,X1H3VY,cell_type_mean,cell_type,method,tissue
cd8.positive.alpha.beta.memory.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176410256410256,cd8.positive.alpha.beta.memory.t.cell,DeconRNASeq,spleen-spleen
macrophage3,6.4,8.02,2.75,4.87,12.51,7.17,8.18,5.52,6.97,3.97,7.85,8.64,6.71,0.88,1.97,7.3,0,11.38,9.31,4.87,11.28,9.8,0.41,7.76,9.25,5.56,7.56,6.34,4.01,6.81,10.02,0,4.13,8.21,5.74,4.59,8.61,6.09,6.27,7.82,6.66,9.36,1.48,5.4,6.45,0.52,0,2.45,1.07,3.02,1.21,1.34,7.52,7.87,11.52,6.15,0.98,9.22,0,7.16,10.04,4.47,6.05,6.01,10.82,7.96,4.06,1.7,9.14,4.14,6.18,3.52,8.77,7.14,4.67,7.15,1.28,8.56,5.85346153846154,macrophage,DeconRNASeq,spleen-spleen
naive.thymus.derived.cd4.positive.alpha.beta.t.cell3,0,0,0,0,0,0,0,0,0,0,0.32,0,0,3.37,0.8,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0.19,0,0,0,0,0,0.95,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,11.92,0,0,0,0,0,0.49,0,0,0,0,0.292435897435897,naive.thymus.derived.cd4.positive.alpha.beta.t.cell,DeconRNASeq,spleen-spleen
intermediate.monocyte3,5.17,0.38,0,2.29,3.43,2.3,0.6,3.03,1.39,1.93,2.11,1.2,1.66,0,0.12,2.32,0,0.91,1.45,0.78,2.45,2.84,0,1.21,1.46,0.33,0.31,1.41,0,1.33,0.91,0,0,6.03,0.55,1.47,2.67,0.62,0.09,0,1.62,3.8,0,0.64,1.26,0,0,0,0.75,0,0,0,1.91,0.71,0.12,0.44,0,1.81,0,1.61,1.83,1.25,3.19,0.79,0.1,0.85,3.53,0,1.94,7.92,2.05,0,0,1.38,2.69,1.51,0.93,0,1.27410256410256,intermediate.monocyte,DeconRNASeq,spleen-spleen
endothelial.cell3,13.51,16.47,14.67,15.97,14.75,13.88,13.17,15.56,13.45,12.1,12.71,17.77,14.92,21.13,17.38,16.64,13,13.72,15.61,11.99,16.72,15.29,13.52,14.49,17.51,11.04,13.14,13.08,12.26,14.59,16.84,11.21,16.16,11.12,14.12,11.22,17.68,13.11,15.9,13.61,14.03,14.01,12.04,14,16.34,14.73,26.82,22.19,27.54,13.78,26.49,25.76,16.52,16.21,16.33,16.53,9.42,14.99,13.01,16.01,15.35,11.68,15,12.91,16.41,12.66,14.84,26.48,16.89,10.29,15.84,14.67,13.41,14.98,9.91,19.48,16.94,14.29,15.3819230769231,endothelial.cell,DeconRNASeq,spleen-spleen
memory.b.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0.8,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0.517051282051282,memory.b.cell,DeconRNASeq,spleen-spleen
classical.monocyte3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,classical.monocyte,DeconRNASeq,spleen-spleen
neutrophil3,16.92,16.91,17.48,15.06,14.6,18.07,14.23,17.02,17.25,16.35,13.03,14.6,15.23,11.65,19.46,15.74,17.3,18.55,16.03,15.16,14.51,14.28,17.78,16.53,14.05,23.09,15.61,13.44,14.95,15.55,12.71,19.45,18.48,16.98,19.12,13.55,18.73,16.85,13.74,15.78,15.02,18.97,20.62,15.8,15.81,20.63,17.6,12.1,12.2,15.67,16.72,17.59,18.34,16.15,16.14,15.21,17.08,15.37,19.13,15,20.74,15.59,16.87,14.04,14.22,15.25,20.79,10.3,14.76,15.01,16.67,18.72,15.1,15.64,14.13,14.43,17.09,15.54,16.1776923076923,neutrophil,DeconRNASeq,spleen-spleen
naive.b.cell3,18.41,20.6,15.32,21.22,14.07,16.13,22.19,16.38,18.2,19.21,23.66,22.68,19.7,17.41,10.87,17.12,12.47,10.4,14.61,20.25,15.13,15.76,11.44,22.15,20,6.13,21.27,25.4,21.92,16.5,21.87,4.86,14.6,19.87,10.07,27.15,17.31,20.76,27.64,22.51,22.06,11.46,11.93,23.76,21.23,5.7,6.75,17.77,18.93,23.88,17.95,10.94,14.26,18.82,13.33,17.04,21.8,16.63,13.28,24.64,11.81,20.61,16.86,22.02,19.63,17.72,13.17,15.48,18.92,14.13,21.2,17.52,14.85,16.74,29.62,18.7,18.51,20.35,17.605641025641,naive.b.cell,DeconRNASeq,spleen-spleen
plasma.cell3,3.18,6.09,16.71,1.64,0.08,4.99,5.1,5.89,3.83,11.35,0,1.59,2.19,0,16.06,0,15.52,9.82,7.14,7.86,3.26,1.25,14.32,4.67,0,19.18,7.79,5.22,12.95,9.47,0,21.75,16.31,0,16.97,0,0,7.05,4.57,5.13,3.71,5.96,22.04,3.11,4.84,24.79,2.8,0,0,0,0,0,6.88,8.01,9.84,9.99,17.54,5.14,17.07,2.2,0.24,9.1,0,7.05,1.98,6.27,5.01,0,2.3,6.71,1.39,11.28,8.91,7.28,2.42,2.32,2.3,10.82,6.3875641025641,plasma.cell,DeconRNASeq,spleen-spleen
