,X111CU,X1122O,X117YX,X11DXX,X11EQ9,X11LCK,X11NSD,X11P7K,X11P81,X11VI4,X11XUK,X1211K,X12BJ1,X12WSD,X12WSG,X12WSJ,X12WSK,X12WSN,X13111,X131XE,X131XG,X132QS,X1399R,X1399S,X139T6,X139YR,X13CF3,X13FH7,X13N11,X13PL7,X13PVR,X13U4I,X13VXT,X13X6H,X145MN,X146FR,X14BMU,X14DAR,X14E1K,X14E6E,X14JG6,X14PJ4,X14PJ6,X14PK6,X14PN3,X15CHC,X15CHQ,X15DYW,X15ER7,X16MT8,X17F96,X17F97,X17F98,X17F9E,X17GQL,X17HHE,X18A66,X18A67,X1A3MV,X1AMFI,X1AX9K,X1B8KZ,X1B97I,X1B97J,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CB4E,X1CB4F,X1CB4I,X1F5PK,X1F5PL,X1F75I,X1GF9U,X1GZ4H,X1H3O1,X1H3VY,cell_type_mean,cell_type,method
B.cell,328173.98,329154.33,215124.23,88743.43,95392.8,409067.85,562185.47,294451.48,349704.46,238566.64,266657.72,411255.81,64008.26,338891.79,219170.47,0,573477.62,268347.13,517803.66,369900.3,121771.19,133951.76,642804.72,62462.9,132711.22,228302.59,534898.39,442826.69,337609.44,480978.8,242820.31,230885.46,290907.85,257780.58,238120.99,487825.05,312247.21,343988.21,336367.66,228786.37,408474.62,326480.78,411661.16,382570.75,312585.47,124936.67,125968.63,279327.11,130236.64,119073.84,116659.42,0,141162.37,327888.2,384739.78,653239.64,0,568160.94,141738.91,241526.24,202168.02,477911.83,0,283553.98,206669.92,144671.89,231543.75,576845.67,446953.78,568962.11,296992.71,443368.06,566252.45,576980.57,365979.37,73340.86,0,418164.74,296216.867948718,B.cell,nnls
CD8.positive.alpha.beta.thymocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,174.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23294871794872,CD8.positive.alpha.beta.thymocyte,nnls
T.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T.cell,nnls
NK.T.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NK.T.cell,nnls
CD4.positive.alpha.beta.thymocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD4.positive.alpha.beta.thymocyte,nnls
innate.lymphoid.cell,340219.04,252198.48,194345.93,427331.05,325734.8,449775.96,308501.34,261832.12,205427.46,60529.04,321743.81,275741.03,406271.34,210706.13,129565.28,305370.86,124418.76,196534.79,332983.34,271325.42,348323.53,372947.69,216717.48,179539.43,405696.53,0,365060.58,229712.33,155106.82,424469.74,501683.93,0,185832.8,36695.12,160795.97,415691.12,240026.23,252110.9,246608.67,194070.25,325057.48,315851.64,40321.94,249885.88,412408.34,83112.21,220186.41,179522.42,516327.66,135669.81,254150.59,232004.18,290859.2,236213.32,327107.64,184047.13,0,301189.99,13105.8,190575.03,243571.78,298228.86,473047.91,202512.15,162342.22,18281.24,250845.51,527298.54,215606.52,278017.54,276483.68,289416.92,357561.22,514365.51,284038.5,288393.2,389344.35,223904.63,258109.000641026,innate.lymphoid.cell,nnls
regulatory.T.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory.T.cell,nnls
plasma.cell,93991.98,122575.16,440620.59,0,0,133946.11,174464.56,101845.35,139777.02,222732.7,31306.16,0,37396.67,0,254182.57,0,654416.29,244412.08,184604.9,132608.51,66607.98,70207.07,755918.26,126999.36,0,464816.01,218535.55,146764.32,336681.06,292232.54,0,836709.03,419481.28,76805.8,386926.03,57029.63,26149.69,201730.08,96585.55,119376.39,88282.2,204380.41,594627.19,57085.62,50517.26,924795.61,66721.83,0,0,0,0,0,119617.87,118524.17,246564.3,333719.55,623099.87,186209.47,413572.9,36866.7,40881.61,172760.81,0,156887.29,81416.77,112682.84,141592.29,0,56257.6,453611.9,18103.12,287326.54,373356.82,272267.91,65435.47,2731.21,0,224661.93,181961.478717949,plasma.cell,nnls
neutrophil,504877.69,391281.19,363178.58,315283.97,422347.77,529609.4,323125.12,363598.97,319136.1,268498.06,253579.21,335279.47,351240.11,91416.06,243824.56,320680.35,397312.89,369845.72,444963.98,198109.66,285207.3,348524.79,507364.32,394737.71,297273.76,439998.92,403884.06,269253.05,247050.5,454264.28,384086.95,324817.61,410540.49,396250.45,383161.99,336608.28,440331.51,349732.14,276673.83,238993.28,313996.69,547895.32,423618.37,360510.89,377785.92,428218.6,231431.13,126341.46,240347.13,219927.75,243109.94,235647.91,426761.84,283702.49,391916.71,385360.14,345871.04,436433.52,300093.96,211021.2,366241.8,264449.36,674725.47,246945.49,224804.12,212010.1,360688.02,172966.74,309492,662782.58,270735.97,454364.5,382128.82,499976.91,266811.08,216780,385843.19,271156.99,343190.246538462,neutrophil,nnls
classical.monocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40859.03,0,0,0,0,0,0,0,0,0,0,0,0,36590.42,0,0,541.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051.64474358974,classical.monocyte,nnls
nk.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nk.cell,nnls
macrophage,34455.42,105687.71,5044.46,47662.67,201917,98485.15,60414.18,50011.16,2381.06,15415.67,34744.6,95585.9,44391.86,0,0,55804.65,0,121816.47,176955.1,10562.92,129701.93,71344.29,0,108971.27,62510.46,53129.75,67675.23,11864.33,0,92955.11,107882.75,0,27024.17,2209.54,54391.03,0,57471.71,4091.2,36241.64,51196.23,16218.19,114504.33,0,70831.89,69888.92,0,0,0,0,0,0,0,85031.07,72501.77,205165.95,69152.81,0,118907.85,0,19019.61,55943.05,510.79,61248.53,11922.51,63982.38,65175.1,0,0,84418.29,10819.38,4589.82,9901.05,132940.85,56431.61,0,22706.1,0,44194.25,45717.9835897436,macrophage,nnls
enodthelial.cell,80013.59,128071.58,52453.02,76754.02,94539.87,54487.58,75417.67,75071.1,72992.81,33828.23,66250.01,164852.33,94419.95,115458.22,97204.77,124452.88,0,51428.95,95522.49,44017.6,121988.98,112660.68,494.64,97873.74,128874.85,0,76026,68894.12,40308.75,64146.11,182526.19,0,86952.2,55295.98,56908.11,42641.19,188347.98,47280.29,135231.69,54163.73,88708.67,77347.99,0,78357.88,107530.25,0,248645.88,131266.35,302341.01,66038.64,196660.85,210676.03,89558.44,83778.07,88619.17,128782.23,0,129789.51,20221.58,82515.78,80653.13,7483.56,178978.13,63692.23,99315.25,47001.11,86256.24,534307.3,127533.03,0,84883.59,51729.19,52485.22,127881.27,21659.96,117889.2,87037,79511.9,91499.8402564103,enodthelial.cell,nnls
CD141.positive.myeloid.dendritic.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD141.positive.myeloid.dendritic.cell,nnls
CD1c.positive.myeloid.dendritic.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD1c.positive.myeloid.dendritic.cell,nnls
intermediate.monocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intermediate.monocyte,nnls
hematopoietic.stem.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hematopoietic.stem.cell,nnls
non.classical.monocyte,166726.85,63614.75,0,61701.22,205649.73,95641.53,123534.52,67252.25,114745.95,27343.58,144182.08,95301.09,88224.63,0,0,142069.31,0,113595.92,110163.35,70563.76,143017.16,196402.91,0,129670.23,151081.98,3382.77,102705.68,109793.54,26090.05,62938.34,194761.05,0,18962.98,200804.21,13997.91,110895.24,167278.21,98754.93,92829.82,57576.36,98723.55,164865.59,0,50815.23,85934.58,0,0,30762.43,16509.98,527.25,0,0,115955.96,52419.3,99034.01,58954.57,0,188151.72,0,92169.42,122069.58,61256.13,287985.29,77680.98,102899.44,85737.11,104886.22,0,118120.56,191237.73,71102.12,0,154603.02,116647.86,95176.79,57360.44,0,62573.66,81223.2616666667,non.classical.monocyte,nnls
