,X111CU,X1122O,X117YX,X11DXX,X11EQ9,X11LCK,X11NSD,X11P7K,X11P81,X11VI4,X11XUK,X1211K,X12BJ1,X12WSD,X12WSG,X12WSJ,X12WSK,X12WSN,X13111,X131XE,X131XG,X132QS,X1399R,X1399S,X139T6,X139YR,X13CF3,X13FH7,X13N11,X13PL7,X13PVR,X13U4I,X13VXT,X13X6H,X145MN,X146FR,X14BMU,X14DAR,X14E1K,X14E6E,X14JG6,X14PJ4,X14PJ6,X14PK6,X14PN3,X15CHC,X15CHQ,X15DYW,X15ER7,X16MT8,X17F96,X17F97,X17F98,X17F9E,X17GQL,X17HHE,X18A66,X18A67,X1A3MV,X1AMFI,X1AX9K,X1B8KZ,X1B97I,X1B97J,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CB4E,X1CB4F,X1CB4I,X1F5PK,X1F5PL,X1F75I,X1GF9U,X1GZ4H,X1H3O1,X1H3VY,cell_type_mean,cell_type,method
cd8.positive.alpha.beta.memory.t.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,58022.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69371.22,0,0,0,81690.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680.56769230769,cd8.positive.alpha.beta.memory.t.cell,nnls
macrophage,90684.25,154192.53,23955.32,77825.82,353745.1,171684.07,159871.74,85310.46,94238.1,42507.38,87435.16,188623.79,108243.49,0,0,66431.84,0,215666.23,261520.45,20960.88,120694.83,188142.52,0,154678.33,166486.98,89101.16,147786.29,98854.12,52325.88,180409.49,283539.71,0,66625.19,85748.58,94722.44,58961.83,124465.48,73151.66,125081.71,107590.53,87789.17,207403.79,0,102770.86,141889.74,0,0,0,0,0,0,0,148307.27,139225.19,311361.81,145276.41,0,206331.13,0,76430.02,105062.84,56965.55,82004.69,68559.07,163099.23,123897.82,1808.62,0,174454.21,97321.73,58868.39,48273.45,236074.84,155097.12,39270.58,86485.05,0,141341.16,97777.3471794872,macrophage,nnls
naive.thymus.derived.cd4.positive.alpha.beta.t.cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54389.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35851.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156.94243589744,naive.thymus.derived.cd4.positive.alpha.beta.t.cell,nnls
intermediate.monocyte,156281.56,0,0,50941.24,101501.62,67279.77,0,70133.94,17663.53,36318.86,18211.33,16656.28,23081.98,0,0,18888.43,0,10695.07,39339.41,0,13756.05,57051.52,0,20474.95,15478.28,2367.75,0,22222.19,0,36221,2256.79,0,0,111266.33,7188.78,17039.71,39373.05,0,0,0,20077.39,108321.49,0,0,26085.99,0,0,0,0,0,0,0,42719.72,5853.72,0,5142.63,0,35977.97,0,15227.42,7074.52,20534.23,88369.57,2586.85,0,13366.08,44222.84,0,35906.1,367271.64,21678.17,0,0,24711.93,43226.73,16724.8,3618.11,0,24620.3502564103,intermediate.monocyte,nnls
endothelial.cell,102734.01,170575.86,94375.55,119598.92,129565.66,107871.87,96778.67,122439.24,82497.46,45626.87,64558.14,195016.97,110848.11,131201.98,114077.63,135505.92,32378.9,81377.98,156622.28,48244.11,150514.12,129499.82,70971.66,123152.4,170413.22,14720.81,100891.87,74218.26,49848.15,129580.26,226631.26,0,147770.09,47346.33,86042.11,41743.11,192742.55,83272.25,160778.11,67526.63,103950.56,113621.65,7597.23,92369.89,162523.17,57629.88,309954.12,160011.13,367997.13,69474.73,258213.07,275997.92,149630.38,118416.77,171142.96,191973.67,0,159235.03,33862.67,101731.93,104251.43,26047.38,199395.66,75985.74,113076.56,58900.94,106308.9,513787.97,153461.32,22144.24,105826.06,116287.14,93956.24,174802.81,13215.25,148437.22,157165.68,101169.96,120501.455512821,endothelial.cell,nnls
memory.b.cell,0,0,0,0,0,0,0,0,0,0,42706.66,0,0,228537.31,0,0,0,0,0,27745.23,0,0,0,0,0,0,0,0,0,0,9093.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12702.25,237912.17,45252.77,170866.23,0,10010.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101198.37,0,0,0,0,0,0,0,0,0,0,11359.2905128205,memory.b.cell,nnls
classical.monocyte,176029.43,18900.02,0,0,0,0,39433.54,0,10134.26,0,106612.43,0,50789.08,21937.64,52266.04,160561.42,0,15370.54,0,68480.28,233841.89,55631.15,0,33074.9,28171.32,0,68782.73,23009.71,0,0,20970.7,0,0,135455.04,1965.96,44798.08,98951.69,61959.1,0,5739.84,58557.74,39573.13,0,0,0,0,0,29244.86,43461.57,69932.52,13769.23,0,34048.06,0,0,0,0,99966.39,0,23557.03,115346.5,0,290600.77,33376.36,0,0,100991.31,201276.66,0,0,45846.29,0,4631.59,93766.48,50429.59,0,0,0,36939.0111538462,classical.monocyte,nnls
neutrophil,193388.02,214853.06,160818.72,116373.46,171684.53,270150.99,139196.45,177857.86,187231.17,131335.2,91478.66,154702,144676.58,59042.46,148614.51,133212.07,136837.45,208364.77,181045.09,97584.13,104714.54,138195.83,201830.43,202446.44,140454.86,288966.72,179911,91673.75,105052.97,168362.65,152321.36,120299.32,221959.32,197692.37,215027.29,138121.51,274336.31,182324.33,117175.82,117649.39,147941.05,282054.09,240745.92,164633.7,164218.76,218369.1,158945.36,77761.11,121421.55,110879.78,166111.8,181281.6,211624.1,125336.31,176648.11,162939.67,149367.82,182789.47,146202.48,112159.44,228055.88,113609.4,310449.38,114277.12,101968.3,110576.66,226672.46,39978.24,141357.1,207378.41,146468.45,251041.58,147282.2,213366.74,111121.65,104721.29,186865.16,145481.62,162552.131410256,neutrophil,nnls
naive.b.cell,564506.35,543561.7,436121.68,586195.34,399099.21,480207.41,628466.07,358828.1,348099.27,382012.35,497753.42,648122.13,518283.68,180343.61,125181.39,367922.07,355101.74,181129.8,438025.29,296095.13,292822.58,381649.27,372242.98,648978.48,483980.44,64250.04,656787.56,655894.22,551634.17,556090.74,802287.41,0,401664.17,430866.89,193844.89,840292.31,397438.33,481833.33,845997.74,431806.59,511195.63,261756.02,296142.58,734567.86,665501.5,8979.86,36180.47,215151.09,394035.27,384116.9,277527.37,135820.82,339522.47,417157.71,354302.34,560486.93,760116.79,506726.65,241656.09,413500.46,169903.11,474043.22,698927.25,441645.08,359198.05,353003.95,197011.52,446621.31,444727.61,558718.82,371102.02,537431.19,454253.15,559313.89,679285.72,305958.41,560681.31,441269.73,428114.846538462,naive.b.cell,nnls
plasma.cell,0,25013.59,444720.78,0,0,0,0,6739.09,0,159119.97,0,0,0,0,232511.79,0,461625.9,127350.8,44066.15,55195.19,0,0,487341.97,0,0,420322.06,84655.13,0,241193.45,157616.69,0,650616.21,420112.86,0,367680.61,0,0,48929.11,0,0,0,9412,674567.97,0,0,1069733.39,0,0,0,0,0,0,25543.57,58667.86,161231.35,206284.16,531904.59,0,329177.88,0,0,91031.17,0,48358.76,0,39075.4,9556.84,0,0,88578.96,0,233237.08,129718.26,77232.15,0,0,0,157468.42,107379.373846154,plasma.cell,nnls
